Rank,Term representative,Score,Frequency
1,"sector cyhoeddus",3.4657,5
1,"llywodraeth cymru",3.4657,6
1,"technolegau digidol",3.4657,7
1,"gofal iechyd",3.4657,5
2,"comisiwn coedwigaeth cymru",3.2958,3
2,"swyddfa ystadegau gwladol",3.2958,3
3,"chyngor chefn gwlad cymru",2.7726,3
3,"dystysgrif feddygol",2.7726,4
4,"amgylchedd cymru",2.0794,4
4,"gwasanaethau cyhoeddus",2.0794,4
4,"effaith ar bobl",2.0794,4
4,"sector preifat",2.0794,3
5,"gyngor ar bopeth cymru",1.7329,4
6,"swyddogaethau asiantaeth",1.3863,3
6,"comisiwn coedwigaeth",1.3863,5
6,"yng nghymru",1.3863,3
